Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
Abril 2025,"25,5 €/m2","+ 1,8 %","+ 0,7 %","+ 6,0 %"
Marzo 2025,"25,0 €/m2","- 1,0 %","- 2,2 %","+ 7,1 %"
Febrero 2025,"25,2 €/m2","- 0,1 %","- 1,0 %","+ 9,0 %"
Enero 2025,"25,3 €/m2","- 1,1 %","+ 1,1 %","+ 6,3 %"
Diciembre 2024,"25,6 €/m2","+ 0,2 %","+ 2,8 %","+ 7,3 %"
Noviembre 2024,"25,5 €/m2","+ 2,0 %","+ 5,4 %","+ 9,2 %"
Octubre 2024,"25,0 €/m2","+ 0,6 %","+ 3,0 %","+ 8,2 %"
Septiembre 2024,"24,8 €/m2","+ 2,6 %","+ 1,2 %","+ 7,8 %"
Agosto 2024,"24,2 €/m2","- 0,2 %","- 0,4 %","+ 7,1 %"
Julio 2024,"24,3 €/m2","- 1,1 %","+ 1,1 %","+ 12,0 %"
Junio 2024,"24,5 €/m2","+ 0,9 %","+ 5,2 %","+ 15,6 %"
Mayo 2024,"24,3 €/m2","+ 1,3 %","+ 5,0 %","+ 17,0 %"
