Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
Abril 2025,"26,5 €/m2","+ 0,7 %","+ 1,7 %","+ 18,4 %"
Marzo 2025,"26,3 €/m2","- 0,5 %","+ 3,9 %","+ 20,0 %"
Febrero 2025,"26,4 €/m2","+ 1,6 %","+ 5,7 %","+ 19,0 %"
Enero 2025,"26,0 €/m2","+ 2,8 %","+ 4,1 %","+ 18,3 %"
Diciembre 2024,"25,3 €/m2","+ 1,2 %","+ 3,3 %","+ 15,6 %"
Noviembre 2024,"25,0 €/m2","0,0 %","+ 5,4 %","+ 14,4 %"
Octubre 2024,"25,0 €/m2","+ 2,1 %","+ 6,0 %","+ 17,0 %"
Septiembre 2024,"24,5 €/m2","+ 3,3 %","+ 3,5 %","+ 17,3 %"
Agosto 2024,"23,7 €/m2","+ 0,6 %","+ 2,9 %","+ 18,6 %"
Julio 2024,"23,6 €/m2","- 0,3 %","+ 5,5 %","+ 17,9 %"
Junio 2024,"23,7 €/m2","+ 2,6 %","+ 8,0 %","+ 18,3 %"
Mayo 2024,"23,1 €/m2","+ 3,2 %","+ 3,8 %","+ 15,4 %"
