Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
Abril 2025,"23,6 €/m2","+ 1,3 %","+ 0,9 %","+ 11,3 %"
Marzo 2025,"23,3 €/m2","- 3,7 %","+ 1,9 %","+ 14,3 %"
Febrero 2025,"24,2 €/m2","+ 3,4 %","+ 4,1 %","+ 18,2 %"
Enero 2025,"23,4 €/m2","+ 2,3 %","+ 3,4 %","+ 13,5 %"
Diciembre 2024,"22,8 €/m2","- 1,6 %","+ 3,9 %","+ 11,0 %"
Noviembre 2024,"23,2 €/m2","+ 2,7 %","+ 11,1 %","+ 14,4 %"
Octubre 2024,"22,6 €/m2","+ 2,8 %","+ 5,4 %","+ 11,6 %"
Septiembre 2024,"22,0 €/m2","+ 5,2 %","+ 1,1 %","+ 10,9 %"
Agosto 2024,"20,9 €/m2","- 2,6 %","- 2,1 %","+ 7,0 %"
Julio 2024,"21,4 €/m2","- 1,4 %","+ 1,2 %","+ 12,7 %"
Junio 2024,"21,7 €/m2","+ 1,9 %","+ 6,8 %","+ 15,7 %"
Mayo 2024,"21,3 €/m2","+ 0,7 %","+ 4,4 %","+ 15,4 %"
