Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
Abril 2025,"23,9 €/m2","+ 3,4 %","+ 4,1 %","+ 13,6 %"
Marzo 2025,"23,1 €/m2","- 1,0 %","- 0,7 %","+ 9,6 %"
Febrero 2025,"23,3 €/m2","+ 1,7 %","+ 0,6 %","+ 10,0 %"
Enero 2025,"22,9 €/m2","- 1,4 %","+ 0,7 %","+ 5,2 %"
Diciembre 2024,"23,2 €/m2","+ 0,3 %","+ 4,8 %","+ 10,3 %"
Noviembre 2024,"23,2 €/m2","+ 1,8 %","+ 6,7 %","+ 11,7 %"
Octubre 2024,"22,8 €/m2","+ 2,7 %","+ 4,4 %","+ 8,7 %"
Septiembre 2024,"22,2 €/m2","+ 2,1 %","- 0,8 %","+ 8,2 %"
Agosto 2024,"21,7 €/m2","- 0,5 %","- 0,3 %","+ 8,3 %"
Julio 2024,"21,8 €/m2","- 2,4 %","+ 3,8 %","+ 14,7 %"
Junio 2024,"22,3 €/m2","+ 2,6 %","+ 6,2 %","+ 17,6 %"
Mayo 2024,"21,8 €/m2","+ 3,7 %","+ 2,8 %","+ 14,7 %"
