Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
Abril 2025,"25,5 €/m2","+ 1,8 %","+ 0,7 %","+ 6,0 %"
Marzo 2025,"25,0 €/m2","- 1,0 %","- 2,2 %","+ 7,1 %"
Febrero 2025,"25,2 €/m2","- 0,1 %","- 1,0 %","+ 9,0 %"
Enero 2025,"25,3 €/m2","- 1,1 %","+ 1,1 %","+ 6,3 %"
Diciembre 2024,"25,6 €/m2","+ 0,2 %","+ 2,8 %","+ 7,3 %"
Noviembre 2024,"25,5 €/m2","+ 2,0 %","+ 5,4 %","+ 9,2 %"
Octubre 2024,"25,0 €/m2","+ 0,6 %","+ 3,0 %","+ 8,2 %"
Septiembre 2024,"24,8 €/m2","+ 2,6 %","+ 1,2 %","+ 7,8 %"
Agosto 2024,"24,2 €/m2","- 0,2 %","- 0,4 %","+ 7,1 %"
Julio 2024,"24,3 €/m2","- 1,1 %","+ 1,1 %","+ 12,0 %"
Junio 2024,"24,5 €/m2","+ 0,9 %","+ 5,2 %","+ 15,6 %"
Mayo 2024,"24,3 €/m2","+ 1,3 %","+ 5,0 %","+ 17,0 %"
Abril 2024,"24,0 €/m2","+ 2,9 %","+ 1,0 %","+ 15,8 %"
Marzo 2024,"23,3 €/m2","+ 0,8 %","- 2,0 %","+ 12,0 %"
Febrero 2024,"23,2 €/m2","- 2,5 %","- 0,8 %","+ 9,7 %"
Enero 2024,"23,8 €/m2","- 0,2 %","+ 2,9 %","+ 12,0 %"
Diciembre 2023,"23,8 €/m2","+ 2,0 %","+ 3,3 %","+ 11,1 %"
Noviembre 2023,"23,4 €/m2","+ 1,1 %","+ 3,3 %","+ 10,8 %"
Octubre 2023,"23,1 €/m2","+ 0,2 %","+ 6,7 %","+ 14,5 %"
Septiembre 2023,"23,1 €/m2","+ 2,0 %","+ 8,6 %","+ 17,2 %"
Agosto 2023,"22,6 €/m2","+ 4,4 %","+ 8,8 %","+ 17,4 %"
Julio 2023,"21,7 €/m2","+ 2,0 %","+ 4,5 %","+ 13,6 %"
Junio 2023,"21,2 €/m2","+ 2,2 %","+ 2,0 %","+ 12,8 %"
Mayo 2023,"20,8 €/m2","+ 0,2 %","- 1,6 %","+ 13,8 %"
Abril 2023,"20,7 €/m2","- 0,5 %","- 2,3 %","+ 15,2 %"
Marzo 2023,"20,8 €/m2","- 1,4 %","- 2,8 %","+ 17,7 %"
Febrero 2023,"21,1 €/m2","- 0,5 %","+ 0,2 %","+ 17,8 %"
Enero 2023,"21,2 €/m2","- 1,0 %","+ 5,2 %","+ 19,3 %"
Diciembre 2022,"21,4 €/m2","+ 1,7 %","+ 9,0 %","+ 25,0 %"
Noviembre 2022,"21,1 €/m2","+ 4,5 %","+ 9,5 %","+ 30,5 %"
Octubre 2022,"20,2 €/m2","+ 2,6 %","+ 5,8 %","+ 26,8 %"
Septiembre 2022,"19,7 €/m2","+ 2,2 %","+ 4,4 %","+ 25,8 %"
Agosto 2022,"19,2 €/m2","+ 1,0 %","+ 5,4 %","+ 24,2 %"
Julio 2022,"19,1 €/m2","+ 1,2 %","+ 5,9 %","+ 23,3 %"
Junio 2022,"18,8 €/m2","+ 3,1 %","+ 6,4 %","+ 22,4 %"
Mayo 2022,"18,3 €/m2","+ 1,4 %","+ 1,8 %","+ 19,0 %"
Abril 2022,"18,0 €/m2","+ 1,7 %","+ 1,2 %","+ 17,4 %"
Marzo 2022,"17,7 €/m2","- 1,3 %","+ 3,2 %","+ 15,0 %"
Febrero 2022,"17,9 €/m2","+ 0,8 %","+ 11,0 %","+ 16,2 %"
Enero 2022,"17,8 €/m2","+ 3,7 %","+ 11,7 %","+ 15,0 %"
Diciembre 2021,"17,1 €/m2","+ 6,1 %","+ 9,7 %","+ 8,9 %"
Noviembre 2021,"16,2 €/m2","+ 1,5 %","+ 4,2 %","+ 0,1 %"
Octubre 2021,"15,9 €/m2","+ 1,8 %","+ 2,9 %","- 2,6 %"
Septiembre 2021,"15,6 €/m2","+ 0,8 %","+ 1,5 %","- 6,5 %"
Agosto 2021,"15,5 €/m2","+ 0,2 %","+ 1,1 %","- 8,8 %"
Julio 2021,"15,5 €/m2","+ 0,5 %","+ 0,8 %","- 11,7 %"
Junio 2021,"15,4 €/m2","+ 0,3 %","0,0 %","- 14,5 %"
Mayo 2021,"15,3 €/m2","0,0 %","- 0,6 %","- 18,2 %"
Abril 2021,"15,3 €/m2","- 0,3 %","- 0,8 %","- 18,8 %"
Marzo 2021,"15,4 €/m2","- 0,3 %","- 2,3 %","- 18,0 %"
Febrero 2021,"15,4 €/m2","- 0,2 %","- 4,4 %","- 17,7 %"
Enero 2021,"15,5 €/m2","- 1,9 %","- 5,4 %","- 17,5 %"
Diciembre 2020,"15,7 €/m2","- 2,5 %","- 5,8 %","- 15,2 %"
Noviembre 2020,"16,1 €/m2","- 1,2 %","- 5,0 %","- 13,1 %"
Octubre 2020,"16,3 €/m2","- 2,3 %","- 6,7 %","- 11,3 %"
Septiembre 2020,"16,7 €/m2","- 1,7 %","- 7,1 %","- 8,8 %"
Agosto 2020,"17,0 €/m2","- 2,8 %","- 9,3 %","- 6,5 %"
Julio 2020,"17,5 €/m2","- 2,8 %","- 7,4 %","- 3,8 %"
Junio 2020,"18,0 €/m2","- 4,0 %","- 4,0 %","- 1,0 %"
Mayo 2020,"18,7 €/m2","- 0,8 %","0,0 %","+ 2,6 %"
Abril 2020,"18,9 €/m2","+ 0,8 %","+ 0,9 %","+ 3,3 %"
