Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
Abril 2025,"26,5 €/m2","+ 0,7 %","+ 1,7 %","+ 18,4 %"
Marzo 2025,"26,3 €/m2","- 0,5 %","+ 3,9 %","+ 20,0 %"
Febrero 2025,"26,4 €/m2","+ 1,6 %","+ 5,7 %","+ 19,0 %"
Enero 2025,"26,0 €/m2","+ 2,8 %","+ 4,1 %","+ 18,3 %"
Diciembre 2024,"25,3 €/m2","+ 1,2 %","+ 3,3 %","+ 15,6 %"
Noviembre 2024,"25,0 €/m2","0,0 %","+ 5,4 %","+ 14,4 %"
Octubre 2024,"25,0 €/m2","+ 2,1 %","+ 6,0 %","+ 17,0 %"
Septiembre 2024,"24,5 €/m2","+ 3,3 %","+ 3,5 %","+ 17,3 %"
Agosto 2024,"23,7 €/m2","+ 0,6 %","+ 2,9 %","+ 18,6 %"
Julio 2024,"23,6 €/m2","- 0,3 %","+ 5,5 %","+ 17,9 %"
Junio 2024,"23,7 €/m2","+ 2,6 %","+ 8,0 %","+ 18,3 %"
Mayo 2024,"23,1 €/m2","+ 3,2 %","+ 3,8 %","+ 15,4 %"
Abril 2024,"22,4 €/m2","+ 2,0 %","+ 1,7 %","+ 11,7 %"
Marzo 2024,"21,9 €/m2","- 1,4 %","+ 0,1 %","+ 10,1 %"
Febrero 2024,"22,2 €/m2","+ 1,0 %","+ 1,6 %","+ 11,0 %"
Enero 2024,"22,0 €/m2","+ 0,4 %","+ 2,9 %","+ 9,9 %"
Diciembre 2023,"21,9 €/m2","+ 0,2 %","+ 4,8 %","+ 13,8 %"
Noviembre 2023,"21,9 €/m2","+ 2,3 %","+ 9,3 %","+ 18,2 %"
Octubre 2023,"21,4 €/m2","+ 2,3 %","+ 6,8 %","+ 16,6 %"
Septiembre 2023,"20,9 €/m2","+ 4,4 %","+ 4,4 %","+ 17,2 %"
Agosto 2023,"20,0 €/m2","0,0 %","+ 0,1 %","+ 14,3 %"
Julio 2023,"20,0 €/m2","0,0 %","0,0 %","+ 16,4 %"
Junio 2023,"20,0 €/m2","+ 0,1 %","+ 0,5 %","+ 17,7 %"
Mayo 2023,"20,0 €/m2","- 0,1 %","- 0,1 %","+ 19,9 %"
Abril 2023,"20,0 €/m2","+ 0,5 %","0,0 %","+ 25,0 %"
Marzo 2023,"19,9 €/m2","- 0,5 %","+ 3,5 %","+ 25,3 %"
Febrero 2023,"20,0 €/m2","0,0 %","+ 8,2 %","+ 25,2 %"
Enero 2023,"20,0 €/m2","+ 4,0 %","+ 9,2 %","+ 28,8 %"
Diciembre 2022,"19,2 €/m2","+ 4,0 %","+ 8,0 %","+ 26,9 %"
Noviembre 2022,"18,5 €/m2","+ 0,9 %","+ 5,7 %","+ 24,5 %"
Octubre 2022,"18,3 €/m2","+ 2,9 %","+ 6,6 %","+ 25,0 %"
Septiembre 2022,"17,8 €/m2","+ 1,8 %","+ 4,8 %","+ 23,4 %"
Agosto 2022,"17,5 €/m2","+ 1,8 %","+ 5,0 %","+ 22,5 %"
Julio 2022,"17,2 €/m2","+ 1,1 %","+ 7,4 %","+ 20,0 %"
Junio 2022,"17,0 €/m2","+ 2,0 %","+ 7,0 %","+ 19,0 %"
Mayo 2022,"16,7 €/m2","+ 4,1 %","+ 4,3 %","+ 17,4 %"
Abril 2022,"16,0 €/m2","+ 0,7 %","+ 3,1 %","+ 12,5 %"
Marzo 2022,"15,9 €/m2","- 0,5 %","+ 4,8 %","+ 10,6 %"
Febrero 2022,"16,0 €/m2","+ 2,9 %","+ 7,5 %","+ 10,6 %"
Enero 2022,"15,5 €/m2","+ 2,4 %","+ 5,9 %","+ 7,5 %"
Diciembre 2021,"15,2 €/m2","+ 2,0 %","+ 5,0 %","+ 3,5 %"
Noviembre 2021,"14,9 €/m2","+ 1,3 %","+ 4,0 %","- 0,9 %"
Octubre 2021,"14,7 €/m2","+ 1,5 %","+ 2,4 %","- 5,1 %"
Septiembre 2021,"14,4 €/m2","+ 1,1 %","+ 1,1 %","- 8,1 %"
Agosto 2021,"14,3 €/m2","- 0,2 %","+ 0,6 %","- 9,8 %"
Julio 2021,"14,3 €/m2","+ 0,2 %","+ 0,6 %","- 11,3 %"
Junio 2021,"14,3 €/m2","+ 0,6 %","- 0,6 %","- 14,3 %"
Mayo 2021,"14,2 €/m2","- 0,2 %","- 1,7 %","- 18,3 %"
Abril 2021,"14,2 €/m2","- 1,0 %","- 1,5 %","- 15,9 %"
Marzo 2021,"14,4 €/m2","- 0,5 %","- 1,9 %","- 13,8 %"
Febrero 2021,"14,4 €/m2","0,0 %","- 3,7 %","- 12,9 %"
Enero 2021,"14,4 €/m2","- 1,4 %","- 6,6 %","- 12,5 %"
Diciembre 2020,"14,7 €/m2","- 2,3 %","- 6,8 %","- 9,8 %"
Noviembre 2020,"15,0 €/m2","- 3,0 %","- 5,3 %","- 7,7 %"
Octubre 2020,"15,5 €/m2","- 1,7 %","- 4,3 %","- 6,1 %"
