Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
Abril 2025,"23,6 €/m2","+ 1,3 %","+ 0,9 %","+ 11,3 %"
Marzo 2025,"23,3 €/m2","- 3,7 %","+ 1,9 %","+ 14,3 %"
Febrero 2025,"24,2 €/m2","+ 3,4 %","+ 4,1 %","+ 18,2 %"
Enero 2025,"23,4 €/m2","+ 2,3 %","+ 3,4 %","+ 13,5 %"
Diciembre 2024,"22,8 €/m2","- 1,6 %","+ 3,9 %","+ 11,0 %"
Noviembre 2024,"23,2 €/m2","+ 2,7 %","+ 11,1 %","+ 14,4 %"
Octubre 2024,"22,6 €/m2","+ 2,8 %","+ 5,4 %","+ 11,6 %"
Septiembre 2024,"22,0 €/m2","+ 5,2 %","+ 1,1 %","+ 10,9 %"
Agosto 2024,"20,9 €/m2","- 2,6 %","- 2,1 %","+ 7,0 %"
Julio 2024,"21,4 €/m2","- 1,4 %","+ 1,2 %","+ 12,7 %"
Junio 2024,"21,7 €/m2","+ 1,9 %","+ 6,8 %","+ 15,7 %"
Mayo 2024,"21,3 €/m2","+ 0,7 %","+ 4,4 %","+ 15,4 %"
Abril 2024,"21,2 €/m2","+ 4,1 %","+ 2,9 %","+ 14,7 %"
Marzo 2024,"20,4 €/m2","- 0,4 %","- 1,0 %","+ 14,2 %"
Febrero 2024,"20,4 €/m2","- 0,7 %","+ 0,8 %","+ 14,2 %"
Enero 2024,"20,6 €/m2","+ 0,1 %","+ 1,7 %","+ 14,8 %"
Diciembre 2023,"20,6 €/m2","+ 1,4 %","+ 3,8 %","+ 18,8 %"
Noviembre 2023,"20,3 €/m2","+ 0,2 %","+ 3,9 %","+ 19,9 %"
Octubre 2023,"20,2 €/m2","+ 2,1 %","+ 6,3 %","+ 20,7 %"
Septiembre 2023,"19,8 €/m2","+ 1,5 %","+ 5,5 %","+ 21,6 %"
Agosto 2023,"19,5 €/m2","+ 2,6 %","+ 5,6 %","+ 21,0 %"
Julio 2023,"19,0 €/m2","+ 1,3 %","+ 3,1 %","+ 17,1 %"
Junio 2023,"18,8 €/m2","+ 1,6 %","+ 5,4 %","+ 18,2 %"
Mayo 2023,"18,5 €/m2","+ 0,2 %","+ 3,3 %","+ 19,6 %"
Abril 2023,"18,5 €/m2","+ 3,5 %","+ 3,0 %","+ 21,6 %"
Marzo 2023,"17,8 €/m2","- 0,4 %","+ 3,0 %","+ 17,6 %"
Febrero 2023,"17,9 €/m2","- 0,1 %","+ 5,8 %","+ 19,7 %"
Enero 2023,"17,9 €/m2","+ 3,5 %","+ 6,9 %","+ 22,8 %"
Diciembre 2022,"17,3 €/m2","+ 2,4 %","+ 6,3 %","+ 20,2 %"
Noviembre 2022,"16,9 €/m2","+ 0,9 %","+ 4,9 %","+ 17,1 %"
Octubre 2022,"16,8 €/m2","+ 2,9 %","+ 3,2 %","+ 17,5 %"
Septiembre 2022,"16,3 €/m2","+ 1,0 %","+ 2,5 %","+ 14,9 %"
Agosto 2022,"16,1 €/m2","- 0,8 %","+ 4,3 %","+ 15,3 %"
Julio 2022,"16,3 €/m2","+ 2,2 %","+ 7,1 %","+ 17,5 %"
Junio 2022,"15,9 €/m2","+ 2,8 %","+ 4,9 %","+ 14,6 %"
Mayo 2022,"15,5 €/m2","+ 1,9 %","+ 3,4 %","+ 11,6 %"
Abril 2022,"15,2 €/m2","+ 0,1 %","+ 4,0 %","+ 9,3 %"
Marzo 2022,"15,2 €/m2","+ 1,3 %","+ 5,3 %","+ 8,8 %"
Febrero 2022,"15,0 €/m2","+ 2,5 %","+ 3,5 %","+ 6,8 %"
Enero 2022,"14,6 €/m2","+ 1,3 %","+ 2,2 %","+ 3,1 %"
Diciembre 2021,"14,4 €/m2","- 0,3 %","+ 1,6 %","- 0,7 %"
Noviembre 2021,"14,5 €/m2","+ 1,2 %","+ 3,3 %","- 3,4 %"
Octubre 2021,"14,3 €/m2","+ 0,7 %","+ 3,2 %","- 6,3 %"
Septiembre 2021,"14,2 €/m2","+ 1,3 %","+ 2,2 %","- 8,3 %"
Agosto 2021,"14,0 €/m2","+ 1,1 %","+ 1,0 %","- 9,9 %"
Julio 2021,"13,8 €/m2","- 0,3 %","- 0,4 %","- 11,7 %"
Junio 2021,"13,9 €/m2","+ 0,2 %","- 0,4 %","- 14,3 %"
Mayo 2021,"13,8 €/m2","- 0,3 %","- 1,1 %","- 16,6 %"
Abril 2021,"13,9 €/m2","- 0,3 %","- 1,9 %","- 13,1 %"
Marzo 2021,"13,9 €/m2","- 0,5 %","- 3,9 %","- 11,8 %"
Febrero 2021,"14,0 €/m2","- 1,1 %","- 6,4 %","- 10,8 %"
Enero 2021,"14,2 €/m2","- 2,4 %","- 7,1 %","- 9,1 %"
Diciembre 2020,"14,5 €/m2","- 3,1 %","- 6,2 %","- 5,3 %"
Noviembre 2020,"15,0 €/m2","- 1,8 %","- 3,6 %","- 2,3 %"
Octubre 2020,"15,2 €/m2","- 1,5 %","- 2,8 %","- 2,4 %"
