Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
Abril 2025,"21,0 €/m2","+ 1,7 %","+ 3,2 %","+ 11,2 %"
Marzo 2025,"20,7 €/m2","+ 1,5 %","+ 1,1 %","+ 8,3 %"
Febrero 2025,"20,4 €/m2","0,0 %","- 0,5 %","+ 6,3 %"
Enero 2025,"20,4 €/m2","- 0,4 %","- 2,4 %","+ 6,5 %"
Diciembre 2024,"20,5 €/m2","0,0 %","+ 2,5 %","+ 10,1 %"
Noviembre 2024,"20,5 €/m2","- 1,9 %","+ 6,8 %","+ 11,9 %"
Octubre 2024,"20,9 €/m2","+ 4,6 %","+ 7,7 %","+ 12,7 %"
Septiembre 2024,"20,0 €/m2","+ 4,1 %","+ 0,5 %","+ 8,1 %"
Agosto 2024,"19,2 €/m2","- 1,0 %","- 0,1 %","+ 7,2 %"
Julio 2024,"19,4 €/m2","- 2,5 %","+ 2,4 %","+ 12,0 %"
Junio 2024,"19,9 €/m2","+ 3,5 %","+ 4,0 %","+ 18,8 %"
Mayo 2024,"19,2 €/m2","+ 1,5 %","+ 0,2 %","+ 14,9 %"
Abril 2024,"18,9 €/m2","- 1,0 %","- 1,1 %","+ 11,9 %"
Marzo 2024,"19,1 €/m2","- 0,3 %","+ 2,8 %","+ 12,5 %"
Febrero 2024,"19,2 €/m2","+ 0,2 %","+ 4,8 %","+ 14,1 %"
Enero 2024,"19,1 €/m2","+ 2,9 %","+ 3,3 %","+ 15,8 %"
Diciembre 2023,"18,6 €/m2","+ 1,6 %","+ 0,7 %","+ 15,9 %"
Noviembre 2023,"18,3 €/m2","- 1,2 %","+ 2,3 %","+ 14,8 %"
Octubre 2023,"18,5 €/m2","+ 0,3 %","+ 7,0 %","+ 14,3 %"
Septiembre 2023,"18,5 €/m2","+ 3,3 %","+ 10,4 %","+ 17,4 %"
Agosto 2023,"17,9 €/m2","+ 3,4 %","+ 7,0 %","+ 16,2 %"
Julio 2023,"17,3 €/m2","+ 3,4 %","+ 2,3 %","+ 13,9 %"
Junio 2023,"16,7 €/m2","0,0 %","- 1,6 %","+ 12,1 %"
Mayo 2023,"16,7 €/m2","- 1,1 %","- 0,5 %","+ 16,4 %"
Abril 2023,"16,9 €/m2","- 0,5 %","+ 2,3 %","+ 19,1 %"
Marzo 2023,"17,0 €/m2","+ 1,1 %","+ 5,9 %","+ 21,1 %"
Febrero 2023,"16,8 €/m2","+ 1,7 %","+ 5,4 %","+ 20,4 %"
